----- Header information -------------------------------------------------------
Current name: TP6_SP_10_XRR_20120213_0_4_001_8s_corr022.txt
Original name: TP6_SP_10_XRR_20120213_0_4_001_8s_corr022
Comment: TP6_SP_10_XRR_20120213_0_4_001_8s.njc (korrigiert mit Strahl = 0.22 mm und Probe = 21.0 mm)
Original date: 16-Feb-2012, 11:10:11
Wavelength: 1.5418
Omega: ???
2Theta: ???
Scan type: ???
Scan axis: ???
First angle: 0.0
Scan range: 4.0
Step width: 0.01
Time per step: 8.0
Number of points: 401
--------------------------------------------------------------------------------

        Angle	    Intensity
          deg	          cps
       0.0000	          inf
       0.0100	10685138.1077
       0.0200	 5948588.8393
       0.0300	 3330574.1154
       0.0400	 1759148.9010
       0.0500	  855424.1651
       0.0600	  514210.9333
       0.0700	  404300.6927
       0.0800	  347270.7443
       0.0900	  325745.0252
       0.1000	  341658.2318
       0.1100	  361895.9724
       0.1200	  371160.6497
       0.1300	  369561.3758
       0.1400	  359245.6988
       0.1500	  344308.5015
       0.1600	  326179.1623
       0.1700	  309058.1998
       0.1800	  292349.7486
       0.1900	  279179.5822
       0.2000	  269095.7633
       0.2100	  260593.1842
       0.2200	  254553.9863
       0.2300	  249781.1463
       0.2400	  245622.2838
       0.2500	  241889.9007
       0.2600	  237604.2684
       0.2700	  234575.4288
       0.2800	  231262.8796
       0.2900	  228151.1644
       0.3000	  223821.3385
       0.3100	  220096.9063
       0.3200	  216625.1967
       0.3300	  213310.9757
       0.3400	  209433.6832
       0.3500	  205898.9645
       0.3600	  202008.1441
       0.3700	  198809.0372
       0.3800	  195578.5740
       0.3900	  192127.3703
       0.4000	  188784.0608
       0.4100	  184338.3780
       0.4200	  180599.0704
       0.4300	  176893.0682
       0.4400	  173216.0436
       0.4500	  168304.3976
       0.4600	  163447.1984
       0.4700	  158048.3103
       0.4800	  152269.5995
       0.4900	  144066.4570
       0.5000	  133430.0196
       0.5100	  119952.9129
       0.5200	  103155.3367
       0.5300	   84637.9632
       0.5400	   68051.9632
       0.5500	   53815.1439
       0.5600	   42935.4127
       0.5700	   35278.1837
       0.5800	   29348.2923
       0.5900	   24986.3689
       0.6000	   21324.7162
       0.6100	   18535.2518
       0.6200	   16142.3206
       0.6300	   14488.2794
       0.6400	   12938.3215
       0.6500	   11302.0913
       0.6600	   10164.9316
       0.6700	    9247.1278
       0.6800	    8399.0642
       0.6900	    7519.7667
       0.7000	    6771.6752
       0.7100	    6296.5583
       0.7200	    5848.0314
       0.7300	    5314.4918
       0.7400	    4899.0463
       0.7500	    4471.8839
       0.7600	    4145.8370
       0.7700	    3907.2740
       0.7800	    3640.6575
       0.7900	    3245.3963
       0.8000	    3065.6309
       0.8100	    2896.6518
       0.8200	    2779.2107
       0.8300	    2513.4646
       0.8400	    2315.2308
       0.8500	    2155.7003
       0.8600	    2027.3779
       0.8700	    1950.6256
       0.8800	    1872.5426
       0.8900	    1742.4606
       0.9000	    1620.3006
       0.9100	    1496.0484
       0.9200	    1420.9356
       0.9300	    1416.8153
       0.9400	    1336.3109
       0.9500	    1205.1206
       0.9600	    1155.6072
       0.9700	    1106.4984
       0.9800	    1034.6183
       0.9900	    1016.4240
       1.0000	     942.9818
       1.0100	     899.4195
       1.0200	     819.1451
       1.0300	     787.1207
       1.0400	     780.5636
       1.0500	     753.6669
       1.0600	     710.5522
       1.0700	     654.2055
       1.0800	     603.2172
       1.0900	     579.3541
       1.1000	     583.3739
       1.1100	     580.2836
       1.1200	     542.1082
       1.1300	     502.8820
       1.1400	     462.5021
       1.1500	     443.7227
       1.1600	     438.7323
       1.1700	     418.9368
       1.1800	     404.3135
       1.1900	     374.7925
       1.2000	     357.0272
       1.2100	     326.4820
       1.2200	     331.7350
       1.2300	     345.1190
       1.2400	     327.4820
       1.2500	     312.2220
       1.2600	     280.5790
       1.2700	     277.4520
       1.2800	     280.7040
       1.2900	     267.5720
       1.3000	     266.8210
       1.3100	     253.0640
       1.3200	     236.1810
       1.3300	     227.1770
       1.3400	     219.0480
       1.3500	     223.1750
       1.3600	     221.1740
       1.3700	     210.1690
       1.3800	     190.0360
       1.3900	     186.6600
       1.4000	     181.9080
       1.4100	     176.4060
       1.4200	     175.5310
       1.4300	     179.5320
       1.4400	     164.7770
       1.4500	     153.7740
       1.4600	     149.7720
       1.4700	     145.5210
       1.4800	     141.7700
       1.4900	     143.5210
       1.5000	     140.7700
       1.5100	     133.6430
       1.5200	     120.6400
       1.5300	     124.2650
       1.5400	     116.1380
       1.5500	     119.7640
       1.5600	     115.0130
       1.5700	     109.2620
       1.5800	     108.0120
       1.5900	     101.1350
       1.6000	     100.3850
       1.6100	      99.3850
       1.6200	     100.2600
       1.6300	      90.1330
       1.6400	      82.7570
       1.6500	      86.6330
       1.6600	      79.7560
       1.6700	      84.1320
       1.6800	      80.0060
       1.6900	      71.1300
       1.7000	      77.2560
       1.7100	      75.7560
       1.7200	      72.7550
       1.7300	      69.0050
       1.7400	      67.3800
       1.7500	      73.2550
       1.7600	      57.5030
       1.7700	      58.1280
       1.7800	      59.5040
       1.7900	      58.7530
       1.8000	      61.1290
       1.8100	      57.7530
       1.8200	      56.0030
       1.8300	      49.3770
       1.8400	      52.3780
       1.8500	      50.5030
       1.8600	      52.1280
       1.8700	      46.3770
       1.8800	      47.0020
       1.8900	      46.3770
       1.9000	      44.1270
       1.9100	      41.5020
       1.9200	      42.6270
       1.9300	      42.7520
       1.9400	      43.6270
       1.9500	      39.7520
       1.9600	      39.0020
       1.9700	      33.6260
       1.9800	      36.3760
       1.9900	      33.3760
       2.0000	      34.8760
       2.0100	      35.7510
       2.0200	      30.1260
       2.0300	      29.6260
       2.0400	      30.1260
       2.0500	      30.7510
       2.0600	      26.8760
       2.0700	      29.2510
       2.0800	      27.2510
       2.0900	      28.7510
       2.1000	      24.1260
       2.1100	      25.7510
       2.1200	      22.5010
       2.1300	      26.7510
       2.1400	      25.0010
       2.1500	      24.2510
       2.1600	      22.6260
       2.1700	      20.6250
       2.1800	      21.7500
       2.1900	      20.1250
       2.2000	      22.7510
       2.2100	      21.2500
       2.2200	      18.8750
       2.2300	      23.1260
