POS CM 40365 DORIS MONITOR 
2.999999999999999889e-01 4.060770000000000000e+05 4.060770000000000000e+05 5.651700000000000000e+05 9.295080000000000000e+05
3.049999999999999933e-01 3.773900000000000000e+05 3.773900000000000000e+05 5.651590000000000000e+05 9.295050000000000000e+05
3.099999999999999978e-01 3.383790000000000000e+05 3.383790000000000000e+05 5.651320000000000000e+05 9.294050000000000000e+05
3.150000000000000022e-01 2.944800000000000000e+05 2.944800000000000000e+05 5.651390000000000000e+05 9.294240000000000000e+05
3.200000000000000067e-01 2.485840000000000000e+05 2.485840000000000000e+05 5.651200000000000000e+05 9.294260000000000000e+05
3.250000000000000111e-01 2.063520000000000000e+05 2.063520000000000000e+05 5.651250000000000000e+05 9.294310000000000000e+05
3.300000000000000155e-01 1.675410000000000000e+05 1.675410000000000000e+05 5.651380000000000000e+05 9.294480000000000000e+05
3.350000000000000200e-01 1.337650000000000000e+05 1.337650000000000000e+05 5.651120000000000000e+05 9.294000000000000000e+05
3.400000000000000244e-01 1.057690000000000000e+05 1.057690000000000000e+05 5.650720000000000000e+05 9.293250000000000000e+05
3.449999999999999734e-01 8.408000000000000000e+04 8.408000000000000000e+04 5.650810000000000000e+05 9.293050000000000000e+05
3.499999999999999778e-01 6.877900000000000000e+04 6.877900000000000000e+04 5.650590000000000000e+05 9.293780000000000000e+05
3.549999999999999822e-01 5.686900000000000000e+04 5.686900000000000000e+04 5.650470000000000000e+05 9.292910000000000000e+05
3.599999999999999867e-01 4.965200000000000000e+04 4.965200000000000000e+04 5.650440000000000000e+05 9.292110000000000000e+05
3.649999999999999911e-01 4.525300000000000000e+04 4.525300000000000000e+04 5.650370000000000000e+05 9.291940000000000000e+05
3.699999999999999956e-01 4.274800000000000000e+04 4.274800000000000000e+04 5.650100000000000000e+05 9.291850000000000000e+05
3.750000000000000000e-01 4.279300000000000000e+04 4.279300000000000000e+04 5.649950000000000000e+05 9.291170000000000000e+05
3.800000000000000044e-01 4.377000000000000000e+04 4.377000000000000000e+04 5.649970000000000000e+05 9.291060000000000000e+05
